Project,File,Key,Comment,,Comment.af,.af,Comment.da,.da,Comment.de,.de,Comment.es,.es,Comment.fi,.fi,Comment.fr,.fr,Comment.hu,.hu,Comment.it,.it,Comment.lt,.lt,Comment.lv,.lv,Comment.nl,.nl,Comment.no,.no,Comment.pl,.pl,Comment.pt,.pt,Comment.ru,.ru,Comment.sk,.sk,Comment.sr,.sr,Comment.tr,.tr,Comment.uk,.uk,Comment.zh-CHS,.zh-CHS
AgOpenGPS,Culture\gStr,gsCreate,,Create,,,,Lav,,Erstellen,,Crear,,Luo,,Créer,,Készít,,Crea,,Sukurti,,Izveidot,,Creër,,Lag,,Utwórz,,,,Создать,,,,Kreiraj,,,,,,
AgOpenGPS,Culture\gStr,gsCreateABoundaryFirst,,Create A Boundary First,,zCreate A Boundary First,,Lav en kant først,,Zuerst eine Außengrenze erstellen,,Crear antes  un lindero,,Luo ensin raja,,Créer d'abord une bordure,,Készíts egy határvonalat először,,Creare Prima Il Confine,,Pirmiausia sukurkite ribą,,Vispirms izveidojiet robežu,,Maak eerst een perceelgrens,,Lag en grense først,,Najpierw utwórz granicę,,Crie um limite primeiro,,Сначала создайте границу,,Najskôr vytvorte hranicu,,Najpre kreirajte granicu,,Önce Bir Sınır Oluşturun,,Спочатку створіть кордон,,请先创建一个边界
AgOpenGPS,Culture\gStr,gsCreateNewField,,Create New Field,,zCreate New Field,,Opret Ny Mark,,Neues Feld erstellen,,Crear nueva Parcela,,Luo uusi pelto,,Créer nouveau champ,,Új terület készítése,,Creare Un Nuovo Campo,,Kurti naują lauką,,Izveidot jaunu lauku,,Maak nieuw perceel,,Lag nytt skifte,,Utwórz nowe pole,,Criar novo campo,,Создать новое поле,,Vytvoriť nové pole,,Kreiraj novo polje,,Yeni Alan Oluştur,,Створ.нове поле,,创建新田块
AgOpenGPS,Culture\gStr,gsCreateNewFromIsoXML,,Create New Field From ISO-XML,,,,,,Neues Feld aus ISO-XML erstellen,,Crear nueva Parcela ISO XML,,Luo uusi pelto ISO-XML:stä,,Créer nouveau champ depuis ISO-XML,,Új terület készítése ISO-XML-ből,,Crea Nuovo Campo da file ISO-XML,,Sukurti naują lauką iš ISO-XML,,Izveidot jaunu lauku no ISO-XML,,Maaak een nieuw perceel vanuit een ISO-XML Bestand,,Lag nytt skifte fra ISO-XML,,Utwórz nowe pole z ISO-XML,,,,Создать новое поле из ISO-XML,,,,Novo polje iz ISO-XML,,,,,,
AgOpenGPS,Culture\gStr,gsCreateNewJob,,Create New Job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsCurrent,,Current,,zCurrent,,Aktuelt,,Aktuell,,Actual,,Nykyinen,,En cours:,,Jelenlegi profil,,Attuale,,Esamas,,Pašreizējais,,Huidig,,Nåværende,,Aktualny,,Atual,,Текущий,,Prúd,,струја,,Akım,,Поточна,,当前(A)
AgOpenGPS,Culture\gStr,gsCurrentTurnSensor,,Current Turn Sensor,,,,Strøm sensor,,,,,,Kääntöanturin Pulssit,,Capteur courant,,Impulzus szenzor,,Sensore di Correte rotazione volante,,Esama posūkio daviklio vertė,,Stūres sensora pašreizējā vērtība,,Stroom-sensor,,Spennings-vinkel-sensor,,Czujnik skrętu,,,,,,,,Senzor intenziteta,,,,,,
AgOpenGPS,Culture\gStr,gsCurve,,Curve,,,,Kurve,,Kurve,,,,Käyrä,,Courbe,,Görbe,,Curva,,,,Līkne,,,,Kurve,,,,,,Кривая,,,,Kriva,,,,,,
AgOpenGPS,Culture\gStr,gsCurveLineFileIsCorrupt,,Curve Line File Corrupt,,zCurve Line File Corrupt,,Fejl i kurve fil,,A-B Kurven Datei fehlerhaft,,Fichero de línea curva corrupto,,Käyräviivatetiedosto korruptoitunut,,Fichier Courbe corrompu,,Görbe fájl hibás,,File Curva Corrotto,,Kreivės linijos failas sugadintas,,Līknes līnijas fails ir bojāts,,AB Curve lijn corrupt,,Kurvelinje fil er korrupt,,Plik linii krzywej jest uszkodzony,,Arquivo de linha curva corrompido,,Файл кривой линии поврежден,,Súbor s krivkou je neplatný,,Fajl neispravan,,Eğri Çizgi Dosyası Bozuk,,Файл Кривої Лінії Пошкоджено,,曲线文件损坏
AgOpenGPS,Culture\gStr,gsCurveNotOn,,Curve Not ON,,zCurve Not ON,,Ingen kurve valgt,,A-B Kurve nicht aktiv,,Curva no activada,,Käyrä ei ole päällä,,Courbe non activée,,Görbe nincs bekapcsolva,,Curva Non Attiva,,Kreivė neįjungta,,Līkne nav IESLĒGTA,,AB Curve niet ingeschakeld,,Kurve er ikke på,,Krzywa nie jest włączona,,Curva não ativada,,Кривая не включена,,AB krivky sú vypnuté,,Kriva je neaktivna,,Eğri AÇIK değil,,Крива Не УВІМКНЕНА,,曲线未打开
AgOpenGPS,Culture\gStr,gsDay,,Day,,,,Dag,,Tag,,,,Päivä,,Jour,,Nap,,Giorno,,Diena,,Diena,,Dag,,Dag,,Dzień,,,,День,,,,Dan,,,,,,
AgOpenGPS,Culture\gStr,gsDeadzone,,---Deadzone---,,,,Dødzone,,--Totbereich--,,,,--Kuollut Alue--,,---Zone morte---,,---Halott zóna---,,--Deadzone--,,Negyva zona,,--- Mirusī zona ---,,,,---Død sone---,,-Martwa strefa-,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsDefault,,Default,,,,Standard,,Standart,,,,Oletus,,Défaut,,Alapértelmezett,,Default,,Numatytasis,,Noklusējums,,Standaard,,Standard,,Domyślny,,,,По умолчанию,,,,Podrazumevano,,,,,,
AgOpenGPS,Culture\gStr,gsDelete,,Delete,,,,Slet,,Löschen,,,,Poista,,Supprimer,,Törlés,,Cancella,,Ištrinti,,Dzēst,,Verwijder,,Slett,,Usuń,,,,Удалить,,,,Obriši,,,,,,
AgOpenGPS,Culture\gStr,gsDeleteAllContoursAndSections,,Delete All Sections And Contours,,zDelete All Sections And Contours,,Slet Alle Sektioner Og Spor,,Alle Konturen und bearbeitete Fläche löschen,,Borra todas las secciones y contornos,,Poista kaikki osiot ja ääriviivat,,Supprimer toutes les sections et contours,,Összes festést és kontúrvonalat törüljük?,,Cancella Tutte Le Sezioni E I Perimetri,,Ištrinkite visas sekcijas ir kontūrus,,Dzēst visas sadaļas un kontūras,,Verwijder alle secties en contouren,,Nullstill alle seksjoner og konturer,,Usuń sekcje i kontury,,Exclua todas as seções e contornos,,Удалить все разделы и контуры,,Vymazať aplikovanú plochu a prejdené kontúry,,Brisanje sekcija i kontura,,Tüm Bölümleri ve Konturları Sil,,Видалити всі розрізи та контури,,清除轮廓与部件
AgOpenGPS,Culture\gStr,gsDeleteAppliedArea,,Delete Applied Area,,zDelete Applied Area,,Slet Bearbejdet Areal,,Bearbeitete Fläche löschen,,Borrar Area seleccionada,,Poista käsitelty alue,,Supprimer la zone appliquée,,Megművelt terület (festés) törlése,,Cancellare L'Area Lavorata,,Ištrinti apdirbtą plotą,,Dzēst apstrādāto platību,,Verwijder bewerkte oppervlakte,,Nullstill bearbeidet område,,Usuń zmapowany obszar,,Excluir área aplicada,,Удалить обработанную область поля,,Vymazať aplikovanú plochu,,Brisanje obrađene površine,,Uygulanan Alanı Sil,,Видал.застосовану площу,,删除应用区域
AgOpenGPS,Culture\gStr,gsDeleteBoundaryMapping,,This action will delete all the boundaries. Do you want to continue?,,zThis action will delete all the boundaries. Do you want to continue?,,Dette vil slette alle markgrænser. Vil du fortsætte?,,Diese Aktion löscht alle Grenzen. Möchtest Du fortfahren?,,,,Tämä toiminto poistaa kaikki rajat. Haluatko jatkaa?,,Cette action supprimera tous les contours. Voulez vous continuer ?,,Ez a művelet törli a terület határait. Biztosan akarja?,,Cancellerai tutti i confini. Vuoi continuare?,,Ar tikrai norite ištrinti visas ribas???,,Šī darbība izdzēsīs visas robežas. Vai vēlaties turpināt?,,Deze actie verwijdert de perceelgrens!,,Denne handlingen vil slette alle grensene. Vil du fortsette?,,To działanie usunie wszystkie granice. Czy chcesz kontynuować?,,Esta ação excluirá todos os limites. Você deseja continuar?,,Удаление всех границ поля. Продолжить?,,,,Da li zaista želite da obrišete granice polja?,,,,,,
AgOpenGPS,Culture\gStr,gsDeleteContourPaths,,Delete Contour Paths,,zDelete Contour Paths,,Slet  kontur spor,,Konturpfade löschen,,Borrar rutas de Contorno,,Poista ääriviivat,,Supprimer chemins de tournières,,Kontúrvonalak törlése,,Eliminare I Percorsi Di Perimetro,,Ištrinkite kontūro kelius,,Dzēst kontūru ceļus,,Verwijder contour-paden,,Slett konturlinjer,,Usuń ścieżki konturowe,,Excluir caminhos de contorno,,Удалить линии контура,,Vymazať prejdené kontúry,,Brisanje kontura,,Kontur Yollarını Sil,,Видал.шляхи контурів,,删除曲线路径
AgOpenGPS,Culture\gStr,gsDeleteField,,Delete Field,,,,Slet mark,,Feld löschen,,,,Poista Pelto,,Supprimer champ,,Terület törlése,,Elimina campo,,Ištrinti lauką,,Dzēst lauku,,Verwijder Perceel,,Slett felt,,Usuń pole,,,,Удалить поле,,,,Brisanje polja,,,,,,
AgOpenGPS,Culture\gStr,gsDeleteForSure,,Delete For Sure?,,zDelete For Sure?,,Slet  Er Du Sikker?,,Wirklich löschen?,,¿Seguro que quiere borrar?,,Haluatko varmasti poistaa?,,Etes vous sûr de vouloir supprimer?,,Biztosan törli?,,Sicuro Di Voler Cancellare?,,Ar tikrai ištrinti?,,Vai tiešām vēlaties to dzēst?,,Zeker verwijderen?,,Slette for godt?,,Na pewno usunąć?,,Excluir com certeza?,,Удалить! Вы уверены?,,Naozaj vymazať?,,Da li ste sigurni?,,Kesinlikle Silinsin mi?,,Видалити дійсно?,,确定删除?
AgOpenGPS,Culture\gStr,gsDiameter,,Diameter,,,,,,Wendekreis,,,,Halkaisija,,Diamètre,,Átmérő,,Diametro,,Diametras,,Diametrs,,,,Diameter,,Średnica,,,,,,,,Prečnik,,,,,,
AgOpenGPS,Culture\gStr,gsDirect,,Direct,,,,Direkte,,Direkt,,,,Suoraan,,Direct,,Közvetlen,,Diretto,,Tiesiogiai,,Taisni,,,,Direkte,,Kierunek,,,,Прямо,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsDirectionMarkers,,Direction Markers,,,,Retnings markører,,Richtungspfeile,,,,Suuntamerkit,,Marqueurs de direction,,Irány jelzók,,Segnalatori Direzione,,Krypties žymekliai,,Virzienu marķieri,,Richting Markeurs,,Retningsmarkører,,Znacznik kierunku,,,,Указатели направления,,,,Markeri pravca,,,,,,
AgOpenGPS,Culture\gStr,gsDirectories,,Directories,,zDirectories,,Bibliotek,,Verzeichnisse,,Carpetas,,Hakemisto,,Dossiers,,Mappák,,Cartelle,,Katalogai,,Katalogi,,Mappen,,Mapper,,Katalogi,,Diretórios,,Каталоги,,Cesta k súborom,,Folderi,,Dizinler,,Теки,,目录
AgOpenGPS,Culture\gStr,gsDirectoryExists,,Directory Exists,,zDirectory Exists,,Bibliotek ekststerer allerede,,Verzeichnis existiert bereits,,Ya existe la carpeta,,Hakemisto on olemassa,,Le dossier existe,,Mappa létezik,,La Cartella Esiste,,Katalogas egzistuoja,,Katalogs pastāv,,Map bestaat,,Mappe finnes,,Katalog istnieje,,O diretório existe,,Каталог уже существует,,Cesta k súborom už existuje,,Folder postoji,,Dizin Var,,Тека відсутня,,目录已存在
AgOpenGPS,Culture\gStr,gsDisagree,,Disagree,,,,Uenig,,Ablehnen,,,,En Hyväksy,,Rejeter,,Elutasít,,Rifiuto,,Nesutikti,,Nepiekrītu,,Afwijzen,,Uenig,,,,,,Не согласен,,,,Odbij,,,,,,
AgOpenGPS,Culture\gStr,gsDiscussions,,Discussions at:,,,,,,Diskussionen hier:,,,,Foorumi:,,Forum:,,Fórum:,,Forum:,,Diskusijos:,,Diskusijas:,,Discussies vindt je hier:,,,,Forum na:,,,,Форум:,,,,Diskusije:,,,,,,
AgOpenGPS,Culture\gStr,gsDisplay,,Display,,,,Vis,,,,,,Näytä,,Afficher,,Kijelző,,Schermo,,Ekranas,,Parādīt,,Activeer Knoppen,,Vis,,Display,,,,Отображать,,,,Displej,,,,,,
AgOpenGPS,Culture\gStr,gsDistance,,Distance:,,zDistance,,Afstand,,Entfernung,,Distancia,,Etäisyys,,Distance:,,Távolság,,Distanza:,,Atstumas:,,Attālums:,,Afstand:,,Avstand:,,Odległość,,Distância,,,,Vzdialenosť,,Rastojanje,,,,Відстань,,
AgOpenGPS,Culture\gStr,gsDistanceToFlag,,Distance to Flag,,,,Afstand til flag,,Entfernung zur Flagge,,,,Etäisyys Lippuun,,Distance drapeau,,Távolság a zászlóig,,Distanza da Punto Interesse,,Atstumas iki žymeklio,,Attālums līdz karogam,,Afstand tot Vlag,,Avstand til flagg,,Odległość do flagi,,,,Расст. до метки,,,,Rastojanje do obeležja,,,,,,
AgOpenGPS,Culture\gStr,gsDriveIn,,Drive In,,zDriveIn,,Kør ind,,Nahegelegende Felder,,Conducir en,,Aja pellolle,,En Route,,Közeli föld megnyitása,,Entrare in Campo,,Įvažiuokite,,Iebraukt,,Rij in perceel,,Kjør inn,,Pola w pobliżu,,Dirija,,Поля рядом,,Vojdi,,Nađi ovde,,,,В'їзд,,
AgOpenGPS,Culture\gStr,gsDriveThru,,Drive Thru,,zDrive Thru,,Kør Igennem,,Durchfahren,,Transitar,,Aja läpi,,Parcourable,,Művelés alatt,,Percorribile,, Važiuoti pro,,Brauc cauri,,Erdoor rijden,,Kjør gjennom,,Jedź przez,,Dirigir atravéz,,Проехать,,Prejsť cez,,Pređi kroz,,Araca servis,,Вести через,,开车通过
AgOpenGPS,Culture\gStr,gsDriving,,Driving,,zDriving,,Køre,,fahren,,Conducir,,Ajaa,,Conduisez,,Vezetés,,Guidando,,Vairavimas,,Braukšana,,Rijden,,Kjører,,Prowadzenie,,Dirigindo,,Вождение,,Riadenie,,Vožnja,,Hareket Ettirici,,Ведення,,驱动
AgOpenGPS,Culture\gStr,gsDualAntennaSetting,,Dual Antenna Settings,,,,Dual antenne indstillinger,,Dual Setup,,,,Kaksois-GPS-antenniasetukset,,Paramètres double antenne,,Dual antenna beállításai,,Configurazione Doppia Antenna,,Dvigubos (dual) antenos nustatymai,,Duālās antenas iestatījumi,,2 Antennes,,Innstillinger for dobbel antenne,,Ustawienia podwójnej anteny,,,,Настройки двойной антенны,,,,Parametri dveju antena,,,,,,
AgOpenGPS,Culture\gStr,gsDualpositionAntennaRight,,Dual Position Antenna is on Right side,,,,Dual positions antenne er på højre side,,Positions Antenne Rechts,,,,Kaksois-GPS-antennijärjestelmän paikoituksen antenni on oikealla puolella,,Antenne à double position à droite,,Dual pozíció antenna a jobb oldalon,,L'Antenna che indica la Posizione è quella di Destra,,Dual sistemos pdėties antena dešinėje,,Duālā pozīcijas antena atrodas labajā pusē,,Positie Antenne bij 2-antenne syteem zit rechts,,Dobbelposisjonsantenne er på høyre side,,Podwójna antena jest po prawej stronie,,,,Правая антенна (при двухантенной системе),,,,,,,,,,
AgOpenGPS,Culture\gStr,gsEast,,East,,zEast,,Øst,,Ost,,Este,,Itä,,Est,,Kelet,,Est,,Į rytus,,Austrumi,,Oost,,Øst,,Wschód,,Leste,,Восток,,Východ,,Istok,,Doğu,,Схід,,东
AgOpenGPS,Culture\gStr,gsEditABCurve,,Edit AB Curve,,zEdit AB Curve,,Ændre AB Kurve,,A-B Kurve bearbeiten,,Editar curva AB,,Muokkaa AB -käyrää,,Modifier courbe AB,,AB görbe szerkesztése,,Modifica Curva AB,,Redaguoti AB kreivę,,Rediģēt AB līkni,,Aanpassen AB-curve,,Rediger AB-kurve,,Edytuj krzywą AB,,Editar curva AB,,Редактировать кривую AB,,Upraviť AB krivku,,Uredi AB krivu,,AB Eğrisini Düzenle,,Редагув. криву АВ,,编辑AB曲线
AgOpenGPS,Culture\gStr,gsEditABLine,,Edit AB Line,,zEdit AB Line,,Ændre AB Linje,,A-B Linie bearbeiten,,Editar linea AB,,Muokkaa AB -linjaa,,Modifier ligne AB,,AB vonal szerkesztése,,Modifica Linea AB,,Redaguoti AB liniją,,Rediģēt AB līniju,,Aanpassen AB-lijn,,Rediger AB-linje,,Edytuj prostą AB,,Editar linha AB,,Редактировать прямую AB,,Upraviť AB líniu,,Uredi AB liniju,,AB Çizgisini Düzenle,,Редагув. лінію АВ,,编辑AB直线
AgOpenGPS,Culture\gStr,gsEditColor,,Edit Color,,,,Ændre farve,,Farbe ändern,,,,Muokkaa Värejä,,Modifier couleur,,Szín szerkesztése,,Modifica Colore,,Redaguoti spalvas,,Rediģēt krāsu,,Maak Kleur,,Rediger farge,,Edytuj kolor,,,,Изменить цвет,,,,Promeni boju,,,,,,
AgOpenGPS,Culture\gStr,gsEditFieldName,,Edit Field Name,,zEdit Field Name,,Ændre mark navn,,Feldname ändern,,Editar el nombre de la parcela,,Muokkaa pellon nimi,,Modifier nom du champ,,Földnév szerkesztése,,Modifica il Nome del File,,Redaguoti lauko pavadinimą,,Rediģēt lauka nosaukumu,,Bewerk perceel naam,,Rediger skiftenavn,,Edytuj nazwę pola,,Editar nome do campo,,Изменить название поля,,Uprav názov poľa ,,Promeni naziv polja,,,,Редагувати назву поля,,
AgOpenGPS,Culture\gStr,gsElevationlog,,Elevation Log,,,,Højde log,,Höhenprotokoll,,,,Korkeusloki,,Elevation Log,,Magassági térkép,,Registro Elevazione,,Aukščio registras,,Augstuma reģistrs,,Registreer hoogte,,Høyde logg,,,,,,Запись высот,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsEnable,,Enable,,,,Aktiver,,Aktivieren,,,,Aktivoi,,Activer,,Engedélyezés,,Attiva,,Įgalinti,,Iespējot,,Activeer,,Aktiver,,Włącz,,,,Включить,,,,Omogući,,,,,,
AgOpenGPS,Culture\gStr,gsEncoderCounts,,Counts,,zCounts,,Føler Impulser,,Anzahl,,Recuentos,,Pulssia,,Nombre d'impulsions,-4000 és 4000 közötti szám az A/D-tól,Érték,,Conteggi Encoder,,Skaičiavimas,,Impulsu skaits,,Stappen,,Teller,,Liczba impulsów enkodera,,Conta,,,,Počet impulzov,,Broj impulsa,,Sayımlar,,Розраховує,,编码器值
AgOpenGPS,Culture\gStr,gsEnterCoordinatesForSimulator,,Enter Coordinates For Simulator,,zEnter Coordinates For Simulator,,Indtast Koordinater Til Sim,,Koordinaten für Simulator eingeben,,Introducir Coordenadas para simulador,,Syötä simulaattorin koordinaatit,,Entrer les coordonnées pour le simulateur,,Szimulátor koordináták megadása (Bp 47.5  19),,Inserire Coordinate Per Il Simulatore,,Įveskite simuliatoriaus koordinates,,Ievadiet koordinātes simulatoram,,Voer simulator-coördinaten in,,Skriv inn koordinater for simulator,,Wprowadź współrzędne dla symulatora,,Insira as coordenadas para o simulador,,Установка координат симулятора,,Vložte súradnice pre simulátor,,Unesi koordinate za simulator,,Simülatör için Koordinatları Girin,,Ввести координати для тренажера,,输入坐标来仿真
AgOpenGPS,Culture\gStr,gsEnterFieldName,,Enter Field Name,,zEnter Field Name,,Skriv mark navn,,Feldnamen eingeben,,Introducir nombre de Parcela,,Kirjoita pellon nimi,,Entrez le nom du champ,,Területnév megadása,,Inserire Nome Campo,,Įveskite lauko pavadinimą,,Ievadiet lauka nosaukumu,,Voer perceelnaam in,,Skriv inn skiftenavn,,Wprowadź nazwę pola,,Insira o nome do campo,,Введите название поля,,Názov poľa,,Unesi naziv polja,,Alan Adını Girin,,Ввести ім'я поля,,输入名字
AgOpenGPS,Culture\gStr,gsEnterJobName,,Enter Job Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsEnterName,,Enter Name,,,,Indtast navn,,Namen eingeben,,,,Kirjoita Nimi,,Entrez le nom,,Név megadása,,Inserisci Nome,,Įvesti pavadinimą,,Ievadiet vārdu,,Voer Naam In,,Skriv inn navn,,Wprowadz nazwe,,,,Введите название,,,,Unesi naziv,,,,,,
AgOpenGPS,Culture\gStr,gsEnterRecordName,,Enter Record Name,,,,Indtast Record navn,,Aufnahme Name:,,,,Tallennuksen Nimi,,Entrez le nom de l'enregistrement,,Felvétel nevének megadása,,Inserisci Nome Registrazione,,Įvesti įrašo pavadinimą,,Ievadiet ieraksta nosaukumu,,Typ hier een naam,,Skriv inn record name,,Wprowadź nazwę rec.,,,,Введите название записи,,,,Unesi naziv,,,,,,
AgOpenGPS,Culture\gStr,gsEnterSimCoords,,Enter Sim Coords,,zEnter Sim Coords,,Indtast Sim Koordinater,,Sim Koordinaten eingeben,,Introducir coordenadas SIM,,Simulaattorin koordinaatit,,Entrez  Coord. Sim,,Szimulátor koordinátáinak beállítása,,Inserire Coord. Sim,,Įveskite simuliatoriaus koordinates,,Ievadiet Simulatora koordinātes,,Voer sim-coörd. in,,Skriv inn Sim-koordinater,,Wprowadź współrzędne symulatora,,Insira as coordenadas do Sim,,Установка координат симулятора,,Súradnice pre simulátor,,Koordinate simulatora,,Sim Kodlarını Girin,,Ввести коорд.тренаж.,,输入仿真坐标
AgOpenGPS,Culture\gStr,gsError,,Error,,zError,,FEJL,,FEHLER,,Error,,Virhe,,Erreur,,Hiba,,Errore,,Klaida,,Kļūda,,Fout,,Feil,,Błąd,,Erro,,Ошибка,,Chyba,,Greška,,Hata!!!,,Помилка,,错误
AgOpenGPS,Culture\gStr,gsErrorreadingKML,,Error reading KML,,zError reading KML,,Fejl Indlæsning KML,,Fehler beim KML einlesen,,Error lectura KML,,Virhe KML-tiedoston lukemisessa,,Erreur de lecture du fichier KML,,Nem sikerült a KML fájl olvasása,,Errore Lettura File KML,,Klaida skaitant KML,,Lasot KML  radās kļūda,,Fout bij lezen KML,,Feil ved lesing av KML,,Błąd odczytu KML,,Erro ao ler KML,,Ошибка чтения KML,,Chyba pri čítaní KML,,Greška pri čitanju,,KML okunurken hata oluştu,,Помилка при читанні KML,,读取KML错误 
AgOpenGPS,Culture\gStr,gsExit,,Exit,,,,,,Schließen,,,,Lopeta,,Quitter,,Kilépés,,Uscita,,Išeiti,,Iziet,,Afsluiten,,Avslutt,,Exit,,,,Выход,,,,Izlaz,,,,,,
AgOpenGPS,Culture\gStr,gsExitToWindows,,Exit to Windows in:,,,,,,Schließt in:,,,,Poistuu Windowsiin:,,Fermeture dans :,,Kilépés a windowsba másodperc múlva:,,Ritorno a Windows in:,,Išeiti į Windows:,,Iziet uz Windows:,,Afsluiten over:,,,,Exit to Windows in:,,,,Выход в Windows:,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsExtraGuideLines,,Extra Guidelines,,,,Ekstra hjælpelinjer,,Leitlinien,,,,Lisä Linjat,,,,Extra irányvonalak,,Ulteriori Linee ,,Ekstra gairės,,Papildu vadlīnijas,,Extra geleidingslijnen,,Ekstra retningslinjer,,Dodatkowe Linie,,,,Дополнительные линии,,,,Dodatne linije,,,,,,
AgOpenGPS,Culture\gStr,gsFast,,Fast,,,,Hurtig,,Schnell,,,,Nopea,,Rapide,,Gyors,,Veloce,,Greitai,,Ātri,,Snel,,Hurtig,,,,,,,,,,Brzo,,,,,,
AgOpenGPS,Culture\gStr,gsField,,Field,,zField,,Mark,,Feld,,Parcela,,Pelto,,Parcelle,,Terület,,Campo,,Laukas,,Lauks,,Perceel,,Skifte,,Pole,,Campo,, Поле,,Pole,,Parcela,,,,Поле,,
AgOpenGPS,Culture\gStr,gsFieldFileIsCorrupt,,Field File is Corrupt,,zField File is Corrupt,,Fejl I Mark Fil,,Feld Datei ist fehlerhaft,,Fichero de Parcela corrupto,,Peltotiedosto on korruptoitunut,,Fichier parcelle corrompu,Területben maradtunk de lehet inkább parcella/mezőkellene?,A terület fájl sérült,,Il File Del Campo E' Corrotto,,Lauko failas sugadintas,,Lauka fails ir bojāts,,Perceel bestand is corrupt,,Skiftefil er ødelagt,,Plik pola jest uszkodzony,,O arquivo de campo está corrompido,,Файл поля поврежден,,Súbor obsahujúci pole je neplatný,,Neispravan fajl,,Alan Dosyası Bozuk,,Файл поля пошкоджений,,田块文件错误
AgOpenGPS,Culture\gStr,gsFieldIsOpen,,Field Is Open,,zField Is Open,,Mark er åbnet,,Feld ist geöffnet,,Parcela abierta,,Pelto on auki,,Le champ est ouvert,,Terület megnyitva,,Il Campo E' Aperto,,Laukas atidarytas,,Lauks ir atvērts,,Perceel is geopend,,Skifte er åpent,,Pole jest otwarte,,O campo está aberto,,Поле открыто,,Pole je otvorené,,Parcela je otvorena,,Alan Açık,,Поле відкрите,,文件已打开
AgOpenGPS,Culture\gStr,gsFieldMenu,,Field Menu,,,,Mark menu,,Feldmenü,,,,Pelto Valikko,,Menu champ,,Terület Menü,,Menù Campo,,Laukų menu,,Lauka izvēlne,,Perceel-menu,,Skifte-meny,,,,,,Меню поля,,,,Meni parcele,,,,,,
AgOpenGPS,Culture\gStr,gsFieldNotOpen,,Field Not Open,,zField Not Open,,Mark Ikke åbnet,,Feld nicht geöffnet,,Parcela no abierta,,Pelto ei ole auki,,Champ non ouvert,,Terület nincs megnyitva,,Il Campo Non E' Aperto,,Laukas neatidarytas,,Lauks nav atvērts,,Geen perceel geopend,,Skifte er ikke åpent,,Pole zamknięte,,Campo não aberto,,Поле не открыто,,Pole nie je otvorené,,Parcela nije otvorena,,Alan Açık Değil,,Поле не відкрите,,文件未打开
AgOpenGPS,Culture\gStr,gsFieldPicker,,Load File,,,,,,Datei laden,,,,Lataa Pelto,,Ouvrir un fichier,,Fájl betöltése,,Carica File,,Užkrauti failą,,Ielādēt failu,,Laad bestand,,Last fil,,Załaduj plik,,,,Загрузить файл,,,,Izbor parcele,,,,,,
AgOpenGPS,Culture\gStr,gsFieldTexture,,Field Texture,,,,,,Hintergrundtextur,,,,Pellon Tekstuuri,,Texture du champ,,Terület mintázata,,Texture del Campo,,Lauko tekstūra,,Lauka tekstūra,,Achtergrond Textuur,,Skifte-tekstur,,Tekstura pola,,,,Текстура поля,,,,Tekstura parcele,,,,,,
AgOpenGPS,Culture\gStr,gsFileError,,File Error,,zFile Error,,Fejl I  Fil,,Dateien fehlerhaft,,Error de archivo,,Tiedostovirhe,,Erreur de fichier,,Fájl hiba,,Errore Nel File,,Failo klaida,,Faila kļūda,,Bestandfout,,Filfeil,,Błąd pliku,,Erro de arquivo,,Ошибка файла,,Chyba súboru,,Greška fajla,,Dosya hatası,,Помилка файла,,文件错误
AgOpenGPS,Culture\gStr,gsFix2Fix,,Fix to Fix Distance,,,,Fix til Fix afstand,,Fix2Fix-Abstand,,,,Fix to Fix Etäisyys,,Fix to fix distance,,Fix to Fix távolság,,Distanza tra i FIX,,Atstumas tarp fiksuotų taškų,,Attālums starp fiksētajiem punktiem,,Fix tot Fix afstand,,Fiks til fix avstand,,Fix to Fix Distance,,,,,,,,Fix2Fix greška,,,,,,
AgOpenGPS,Culture\gStr,gsFixAlarm,,RTK Fix Alarm,,,,,,NO RTK !!!,,,,RTK Fix Hälytys,,Alarme Fix RTK,,RTK Fix  riasztás,,Allarme RTK fix Perso,,RTK Fix aliarmas,,RTK Fix trauksme,,,,RTK fiksering  alarm,,RTK Fix Alarm,,,,Звук потери RTK,,,,RTK Fix alarm,,,,,,
AgOpenGPS,Culture\gStr,gsFixAlarmStop,,Alarm Stops Autosteer,,,,Alarm stopper Autosteer,,Alarm stoppt Lenkung,,,,Hälytys Kytkee Ohjauksen Pois,,Alarme arrêt autoguidage,,Riasztás kikapcsolja a kormányzást,,Allarme Disabilita Autoguida,,Aliarmas išjungia Auto vairavimą,,Trauksme atslēdz automātisko stūrēšanu,,Alarm stopt geleiding,,Alarm stopper autostyring,,Alarm zatrzymuje autosterowanie,,,,Звук откл. автопилота,,,,Alarm zaustavlja navođenje,,,,,,
