Project,File,Key,Comment,,Comment.af,.af,Comment.da,.da,Comment.de,.de,Comment.es,.es,Comment.fi,.fi,Comment.fr,.fr,Comment.hu,.hu,Comment.it,.it,Comment.lt,.lt,Comment.lv,.lv,Comment.nl,.nl,Comment.no,.no,Comment.pl,.pl,Comment.pt,.pt,Comment.ru,.ru,Comment.sk,.sk,Comment.sr,.sr,Comment.tr,.tr,Comment.uk,.uk,Comment.zh-CHS,.zh-CHS
AgOpenGPS,Culture\gStr,gsContourFileIsCorrupt,,Contour File Corrupt,,zContour File Corrupt,,Fejl i kontur fil,,Kontur Datei fehlerhaft,,Fichero de contorno corrupto,,Käyrätiedosto korruptoitunut,,Fichier contour corrompu,,Kontúr fájl hibás,,File Perimetri Corrotto,,Sugadintas kont?ro failas,,Kont?ras fails ir boj?ts,,Contour bestand corrupt,,Konturfilen er korrupt,,Uszkodzony plik konturów,,Arquivo de contorno corrompido,,???? ??????? ?????????,,Súbor s kontúrou je neplatný,,Fajl neispravan,,Kontur Dosyas? Bozuk,,????????? ???? ??????????,,??????
AgOpenGPS,Culture\gStr,gsContourOn,,Contour On,,zContour On,,Kontur igang,,Kontur aktiviert,,Contorno activado,,Rajakäyrä päälle,,Contour activé,,Kontúr be,,Perimetro Attivo,,Kont?ras ?jungtas,,Kont?ra iesl?gta,,Contour Aan,,Kontur På,,Kontur w??czony,,Contorno ativado,,?????? ???,,Kontúry zapnuté,,Konture aktivne,,Kontur Aç?k,,?????? ?????,,???
AgOpenGPS,Culture\gStr,gsCouldntGenerateValidPath,,No Valid Path,,zNo Valid Path,,Ingen valid filsti,,Kein gültiger Pfad,,Ruta no válida,,Ei kelvollista polkua,,Chemin non valide,,Nem sikerült az útvonalkészítés,,Non E' Possibile Generare Un Percorso Valido,,N?ra galiojan?io kelio,,Nav der?ga ce?a,,Geen juist pad,,Kunne ikke generere gyldig vei,,Niew?a?ciwa ?cie?ka,,Nenhum caminho válido,,???????????? ????,,Žiadna platná cesta,,Nema putanje,,Geçerli Yol Yok,,????? ???????? ?????,,?????
AgOpenGPS,Culture\gStr,gsCountsPerDegree,,Counts Per Degree,,,,Tæller pr. grad,,,,Pulsos por grado,,Pulssia / Asteelle,,Counts par degrés,,CPD osztószáma,,Conteggi per Grado,,Pulsai per laipsn?,,Impulsi uz gr?du,,Stap-per-graad,,Steg pr grad,,Liczba na stopie?,,,,,,,,Impuls / °,,,,,,
AgOpenGPS,Culture\gStr,gsCoverage,,% Coverage,,,,% dækning,,% Deckung,,% Cobertura,,% Peitto,,% couverture,,% m?velve,,% Copertura,,% Padengta,,% Apstr?d?ts,,% Dekking,,% Dekning,,% Pokrycia,,,,% ????????,,,,% pokrivenosti,,,,,,
AgOpenGPS,Culture\gStr,gsCreate,,Create,,,,Lav,,Erstellen,,Crear,,Luo,,Créer,,Készít,,Crea,,Sukurti,,Izveidot,,Creër,,Lag,,Utwórz,,,,???????,,,,Kreiraj,,,,,,
AgOpenGPS,Culture\gStr,gsCreateABoundaryFirst,,Create A Boundary First,,zCreate A Boundary First,,Lav en kant først,,Zuerst eine Außengrenze erstellen,,Crear antes  un lindero,,Luo ensin raja,,Créer d'abord une bordure,,Készíts egy határvonalat el?ször,,Creare Prima Il Confine,,Pirmiausia sukurkite rib?,,Vispirms izveidojiet robežu,,Maak eerst een perceelgrens,,Lag en grense først,,Najpierw utwórz granic?,,Crie um limite primeiro,,??????? ???????? ???????,,Najskôr vytvorte hranicu,,Najpre kreirajte granicu,,Önce Bir S?n?r Olu?turun,,???????? ???????? ??????,,????????
AgOpenGPS,Culture\gStr,gsCreateNewField,,Create New Field,,zCreate New Field,,Opret Ny Mark,,Neues Feld erstellen,,Crear nueva Parcela,,Luo uusi pelto,,Créer nouveau champ,,Új terület készítése,,Creare Un Nuovo Campo,,Kurti nauj? lauk?,,Izveidot jaunu lauku,,Maak nieuw perceel,,Lag nytt skifte,,Utwórz nowe pole,,Criar novo campo,,??????? ????? ????,,Vytvori? nové pole,,Kreiraj novo polje,,Yeni Alan Olu?tur,,?????.???? ????,,?????
AgOpenGPS,Culture\gStr,gsCreateNewFromIsoXML,,Create New Field From ISO-XML,,,,,,Neues Feld aus ISO-XML erstellen,,Crear nueva Parcela ISO XML,,Luo uusi pelto ISO-XML:stä,,Créer nouveau champ depuis ISO-XML,,Új terület készítése ISO-XML-b?l,,Crea Nuovo Campo da file ISO-XML,,Sukurti nauj? lauk? iš ISO-XML,,Izveidot jaunu lauku no ISO-XML,,Maaak een nieuw perceel vanuit een ISO-XML Bestand,,Lag nytt skifte fra ISO-XML,,Utwórz nowe pole z ISO-XML,,,,??????? ????? ???? ?? ISO-XML,,,,Novo polje iz ISO-XML,,,,,,
AgOpenGPS,Culture\gStr,gsCreateNewJob,,Create New Job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsCurrent,,Current,,zCurrent,,Aktuelt,,Aktuell,,Actual,,Nykyinen,,En cours:,,Jelenlegi profil,,Attuale,,Esamas,,Pašreiz?jais,,Huidig,,Nåværende,,Aktualny,,Atual,,???????,,Prúd,,??????,,Ak?m,,???????,,??(A)
AgOpenGPS,Culture\gStr,gsCurrentTurnSensor,,Current Turn Sensor,,,,Strøm sensor,,,,,,Kääntöanturin Pulssit,,Capteur courant,,Impulzus szenzor,,Sensore di Correte rotazione volante,,Esama pos?kio daviklio vert?,,St?res sensora pašreiz?j? v?rt?ba,,Stroom-sensor,,Spennings-vinkel-sensor,,Czujnik skr?tu,,,,,,,,Senzor intenziteta,,,,,,
AgOpenGPS,Culture\gStr,gsCurve,,Curve,,,,Kurve,,Kurve,,,,Käyrä,,Courbe,,Görbe,,Curva,,,,L?kne,,,,Kurve,,,,,,??????,,,,Kriva,,,,,,
AgOpenGPS,Culture\gStr,gsCurveLineFileIsCorrupt,,Curve Line File Corrupt,,zCurve Line File Corrupt,,Fejl i kurve fil,,A-B Kurven Datei fehlerhaft,,Fichero de línea curva corrupto,,Käyräviivatetiedosto korruptoitunut,,Fichier Courbe corrompu,,Görbe fájl hibás,,File Curva Corrotto,,Kreiv?s linijos failas sugadintas,,L?knes l?nijas fails ir boj?ts,,AB Curve lijn corrupt,,Kurvelinje fil er korrupt,,Plik linii krzywej jest uszkodzony,,Arquivo de linha curva corrompido,,???? ?????? ????? ?????????,,Súbor s krivkou je neplatný,,Fajl neispravan,,E?ri Çizgi Dosyas? Bozuk,,???? ?????? ????? ??????????,,??????
AgOpenGPS,Culture\gStr,gsCurveNotOn,,Curve Not ON,,zCurve Not ON,,Ingen kurve valgt,,A-B Kurve nicht aktiv,,Curva no activada,,Käyrä ei ole päällä,,Courbe non activée,,Görbe nincs bekapcsolva,,Curva Non Attiva,,Kreiv? ne?jungta,,L?kne nav IESL?GTA,,AB Curve niet ingeschakeld,,Kurve er ikke på,,Krzywa nie jest w??czona,,Curva não ativada,,?????? ?? ????????,,AB krivky sú vypnuté,,Kriva je neaktivna,,E?ri AÇIK de?il,,????? ?? ?????????,,?????
AgOpenGPS,Culture\gStr,gsDay,,Day,,,,Dag,,Tag,,,,Päivä,,Jour,,Nap,,Giorno,,Diena,,Diena,,Dag,,Dag,,Dzie?,,,,????,,,,Dan,,,,,,
AgOpenGPS,Culture\gStr,gsDeadzone,,---Deadzone---,,,,Dødzone,,--Totbereich--,,,,--Kuollut Alue--,,---Zone morte---,,---Halott zóna---,,--Deadzone--,,Negyva zona,,--- Mirus? zona ---,,,,---Død sone---,,-Martwa strefa-,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsDefault,,Default,,,,Standard,,Standart,,,,Oletus,,Défaut,,Alapértelmezett,,Default,,Numatytasis,,Noklus?jums,,Standaard,,Standard,,Domy?lny,,,,?? ?????????,,,,Podrazumevano,,,,,,
AgOpenGPS,Culture\gStr,gsDelete,,Delete,,,,Slet,,Löschen,,,,Poista,,Supprimer,,Törlés,,Cancella,,Ištrinti,,Dz?st,,Verwijder,,Slett,,Usu?,,,,???????,,,,Obriši,,,,,,
AgOpenGPS,Culture\gStr,gsDeleteAllContoursAndSections,,Delete All Sections And Contours,,zDelete All Sections And Contours,,Slet Alle Sektioner Og Spor,,Alle Konturen und bearbeitete Fläche löschen,,Borra todas las secciones y contornos,,Poista kaikki osiot ja ääriviivat,,Supprimer toutes les sections et contours,,Összes festést és kontúrvonalat törüljük?,,Cancella Tutte Le Sezioni E I Perimetri,,Ištrinkite visas sekcijas ir kont?rus,,Dz?st visas sada?as un kont?ras,,Verwijder alle secties en contouren,,Nullstill alle seksjoner og konturer,,Usu? sekcje i kontury,,Exclua todas as seções e contornos,,??????? ??? ??????? ? ???????,,Vymaza? aplikovanú plochu a prejdené kontúry,,Brisanje sekcija i kontura,,Tüm Bölümleri ve Konturlar? Sil,,???????? ??? ??????? ?? ???????,,???????
AgOpenGPS,Culture\gStr,gsDeleteAppliedArea,,Delete Applied Area,,zDelete Applied Area,,Slet Bearbejdet Areal,,Bearbeitete Fläche löschen,,Borrar Area seleccionada,,Poista käsitelty alue,,Supprimer la zone appliquée,,Megm?velt terület (festés) törlése,,Cancellare L'Area Lavorata,,Ištrinti apdirbt? plot?,,Dz?st apstr?d?to plat?bu,,Verwijder bewerkte oppervlakte,,Nullstill bearbeidet område,,Usu? zmapowany obszar,,Excluir área aplicada,,??????? ???????????? ??????? ????,,Vymaza? aplikovanú plochu,,Brisanje obra?ene površine,,Uygulanan Alan? Sil,,?????.??????????? ?????,,??????
AgOpenGPS,Culture\gStr,gsDeleteBoundaryMapping,,This action will delete all the boundaries. Do you want to continue?,,zThis action will delete all the boundaries. Do you want to continue?,,Dette vil slette alle markgrænser. Vil du fortsætte?,,Diese Aktion löscht alle Grenzen. Möchtest Du fortfahren?,,,,"Tämä toiminto poistaa kaikki rajat. 
Haluatko jatkaa?",,Cette action supprimera tous les contours. Voulez vous continuer ?,,Ez a m?velet törli a terület határait. Biztosan akarja?,,Cancellerai tutti i confini. Vuoi continuare?,,Ar tikrai norite ištrinti visas ribas???,,Š? darb?ba izdz?s?s visas robežas. Vai v?laties turpin?t?,,Deze actie verwijdert de perceelgrens!,,Denne handlingen vil slette alle grensene. Vil du fortsette?,,To dzia?anie usunie wszystkie granice. Czy chcesz kontynuowa??,,Esta ação excluirá todos os limites. Você deseja continuar?,,???????? ???? ?????? ????. ???????????,,,,Da li zaista želite da obrišete granice polja?,,,,,,
AgOpenGPS,Culture\gStr,gsDeleteContourPaths,,Delete Contour Paths,,zDelete Contour Paths,,Slet  kontur spor,,Konturpfade löschen,,Borrar rutas de Contorno,,Poista ääriviivat,,Supprimer chemins de tournières,,Kontúrvonalak törlése,,Eliminare I Percorsi Di Perimetro,,Ištrinkite kont?ro kelius,,Dz?st kont?ru ce?us,,Verwijder contour-paden,,Slett konturlinjer,,Usu? ?cie?ki konturowe,,Excluir caminhos de contorno,,??????? ????? ???????,,Vymaza? prejdené kontúry,,Brisanje kontura,,Kontur Yollar?n? Sil,,?????.????? ????????,,??????
AgOpenGPS,Culture\gStr,gsDeleteField,,Delete Field,,,,Slet mark,,Feld löschen,,,,Poista Pelto,,Supprimer champ,,Terület törlése,,Elimina campo,,Ištrinti lauk?,,Dz?st lauku,,Verwijder Perceel,,Slett felt,,Usu? pole,,,,??????? ????,,,,Brisanje polja,,,,,,
AgOpenGPS,Culture\gStr,gsDeleteForSure,,Delete For Sure?,,zDelete For Sure?,,"Slet, Er Du Sikker?",,Wirklich löschen?,,¿Seguro que quiere borrar?,,Haluatko varmasti poistaa?,,Etes vous sûr de vouloir supprimer?,,Biztosan törli?,,Sicuro Di Voler Cancellare?,,Ar tikrai ištrinti?,,Vai tieš?m v?laties to dz?st?,,Zeker verwijderen?,,Slette for godt?,,Na pewno usun???,,Excluir com certeza?,,???????! ?? ????????,,Naozaj vymaza??,,Da li ste sigurni?,,Kesinlikle Silinsin mi?,,???????? ???????,,?????
AgOpenGPS,Culture\gStr,gsDiameter,,Diameter,,,,,,Wendekreis,,,,Halkaisija,,Diamètre,,Átmér?,,Diametro,,Diametras,,Diametrs,,,,Diameter,,?rednica,,,,,,,,Pre?nik,,,,,,
AgOpenGPS,Culture\gStr,gsDirect,,Direct,,,,Direkte,,Direkt,,,,Suoraan,,Direct,,Közvetlen,,Diretto,,Tiesiogiai,,Taisni,,,,Direkte,,Kierunek,,,,?????,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsDirectionMarkers,,Direction Markers,,,,Retnings markører,,Richtungspfeile,,,,Suuntamerkit,,Marqueurs de direction,,Irány jelzók,,Segnalatori Direzione,,Krypties žymekliai,,Virzienu mar?ieri,,Richting Markeurs,,Retningsmarkører,,Znacznik kierunku,,,,????????? ???????????,,,,Markeri pravca,,,,,,
AgOpenGPS,Culture\gStr,gsDirectories,,Directories,,zDirectories,,Bibliotek,,Verzeichnisse,,Carpetas,,Hakemisto,,Dossiers,,Mappák,,Cartelle,,Katalogai,,Katalogi,,Mappen,,Mapper,,Katalogi,,Diretórios,,????????,,Cesta k súborom,,Folderi,,Dizinler,,????,,??
AgOpenGPS,Culture\gStr,gsDirectoryExists,,Directory Exists,,zDirectory Exists,,Bibliotek ekststerer allerede,,Verzeichnis existiert bereits,,Ya existe la carpeta,,Hakemisto on olemassa,,Le dossier existe,,Mappa létezik,,La Cartella Esiste,,Katalogas egzistuoja,,Katalogs past?v,,Map bestaat,,Mappe finnes,,Katalog istnieje,,O diretório existe,,??????? ??? ??????????,,Cesta k súborom už existuje,,Folder postoji,,Dizin Var,,???? ????????,,?????
AgOpenGPS,Culture\gStr,gsDisagree,,Disagree,,,,Uenig,,Ablehnen,,,,En Hyväksy,,Rejeter,,Elutasít,,Rifiuto,,Nesutikti,,Nepiekr?tu,,Afwijzen,,Uenig,,,,,,?? ????????,,,,Odbij,,,,,,
AgOpenGPS,Culture\gStr,gsDiscussions,,Discussions at:,,,,,,Diskussionen hier:,,,,Foorumi:,,Forum:,,Fórum:,,Forum:,,Diskusijos:,,Diskusijas:,,Discussies vindt je hier:,,,,Forum na:,,,,?????:,,,,Diskusije:,,,,,,
AgOpenGPS,Culture\gStr,gsDisplay,,Display,,,,Vis,,,,,,Näytä,,Afficher,,Kijelz?,,Schermo,,Ekranas,,Par?d?t,,Activeer Knoppen,,Vis,,Display,,,,??????????,,,,Displej,,,,,,
AgOpenGPS,Culture\gStr,gsDistance,,Distance:,,zDistance,,Afstand,,Entfernung,,Distancia,,Etäisyys,,Distance:,,Távolság,,Distanza:,,Atstumas:,,Att?lums:,,Afstand:,,Avstand:,,Odleg?o??,,Distância,,,,Vzdialenos?,,Rastojanje,,,,????????,,
AgOpenGPS,Culture\gStr,gsDistanceToFlag,,Distance to Flag,,,,Afstand til flag,,Entfernung zur Flagge,,,,Etäisyys Lippuun,,Distance drapeau,,Távolság a zászlóig,,Distanza da Punto Interesse,,Atstumas iki žymeklio,,Att?lums l?dz karogam,,Afstand tot Vlag,,Avstand til flagg,,Odleg?o?? do flagi,,,,?????. ?? ?????,,,,Rastojanje do obeležja,,,,,,
AgOpenGPS,Culture\gStr,gsDriveIn,,Drive In,,zDriveIn,,Kør ind,,Nahegelegende Felder,,Conducir en,,Aja pellolle,,En Route,,Közeli föld megnyitása,,Entrare in Campo,,?važiuokite,,Iebraukt,,Rij in perceel,,Kjør inn,,Pola w pobli?u,,Dirija,,???? ?????,,Vojdi,,Na?i ovde,,,,?'???,,
AgOpenGPS,Culture\gStr,gsDriveThru,,Drive Thru,,zDrive Thru,,Kør Igennem,,Durchfahren,,Transitar,,Aja läpi,,Parcourable,,M?velés alatt,,Percorribile,, Važiuoti pro,,Brauc cauri,,Erdoor rijden,,Kjør gjennom,,Jed? przez,,Dirigir atravéz,,????????,,Prejs? cez,,Pre?i kroz,,Araca servis,,????? ?????,,????
AgOpenGPS,Culture\gStr,gsDriving,,Driving,,zDriving,,Køre,,fahren,,Conducir,,Ajaa,,Conduisez,,Vezetés,,Guidando,,Vairavimas,,Braukšana,,Rijden,,Kjører,,Prowadzenie,,Dirigindo,,????????,,Riadenie,,Vožnja,,Hareket Ettirici,,???????,,??
AgOpenGPS,Culture\gStr,gsDualAntennaSetting,,Dual Antenna Settings,,,,Dual antenne indstillinger,,Dual Setup,,,,Kaksois-GPS-antenniasetukset,,Paramètres double antenne,,Dual antenna beállításai,,Configurazione Doppia Antenna,,Dvigubos (dual) antenos nustatymai,,Du?l?s antenas iestat?jumi,,2 Antennes,,Innstillinger for dobbel antenne,,Ustawienia podwójnej anteny,,,,????????? ??????? ???????,,,,Parametri dveju antena,,,,,,
AgOpenGPS,Culture\gStr,gsDualpositionAntennaRight,,Dual Position Antenna is on Right side,,,,Dual positions antenne er på højre side,,Positions Antenne Rechts,,,,Kaksois-GPS-antennijärjestelmän paikoituksen antenni on oikealla puolella,,Antenne à double position à droite,,Dual pozíció antenna a jobb oldalon,,L'Antenna che indica la Posizione è quella di Destra,,Dual sistemos pd?ties antena dešin?je,,Du?l? poz?cijas antena atrodas labaj? pus?,,Positie Antenne bij 2-antenne syteem zit rechts,,Dobbelposisjonsantenne er på høyre side,,Podwójna antena jest po prawej stronie,,,,?????? ??????? (??? ???????????? ???????),,,,,,,,,,
AgOpenGPS,Culture\gStr,gsEast,,East,,zEast,,Øst,,Ost,,Este,,Itä,,Est,,Kelet,,Est,,? rytus,,Austrumi,,Oost,,Øst,,Wschód,,Leste,,??????,,Východ,,Istok,,Do?u,,????,,?
AgOpenGPS,Culture\gStr,gsEditABCurve,,Edit AB Curve,,zEdit AB Curve,,Ændre AB Kurve,,A-B Kurve bearbeiten,,Editar curva AB,,Muokkaa AB -käyrää,,Modifier courbe AB,,AB görbe szerkesztése,,Modifica Curva AB,,Redaguoti AB kreiv?,,Redi??t AB l?kni,,Aanpassen AB-curve,,Rediger AB-kurve,,Edytuj krzyw? AB,,Editar curva AB,,????????????? ?????? AB,,Upravi? AB krivku,,Uredi AB krivu,,AB E?risini Düzenle,,???????. ????? ??,,??AB??
AgOpenGPS,Culture\gStr,gsEditABLine,,Edit AB Line,,zEdit AB Line,,Ændre AB Linje,,A-B Linie bearbeiten,,Editar linea AB,,Muokkaa AB -linjaa,,Modifier ligne AB,,AB vonal szerkesztése,,Modifica Linea AB,,Redaguoti AB linij?,,Redi??t AB l?niju,,Aanpassen AB-lijn,,Rediger AB-linje,,Edytuj prost? AB,,Editar linha AB,,????????????? ?????? AB,,Upravi? AB líniu,,Uredi AB liniju,,AB Çizgisini Düzenle,,???????. ????? ??,,??AB??
AgOpenGPS,Culture\gStr,gsEditColor,,Edit Color,,,,Ændre farve,,Farbe ändern,,,,Muokkaa Värejä,,Modifier couleur,,Szín szerkesztése,,Modifica Colore,,Redaguoti spalvas,,Redi??t kr?su,,Maak Kleur,,Rediger farge,,Edytuj kolor,,,,???????? ????,,,,Promeni boju,,,,,,
AgOpenGPS,Culture\gStr,gsEditFieldName,,Edit Field Name,,zEdit Field Name,,Ændre mark navn,,Feldname ändern,,Editar el nombre de la parcela,,Muokkaa pellon nimi,,Modifier nom du champ,,Földnév szerkesztése,,Modifica il Nome del File,,Redaguoti lauko pavadinim?,,Redi??t lauka nosaukumu,,Bewerk perceel naam,,Rediger skiftenavn,,Edytuj nazw? pola,,Editar nome do campo,,???????? ???????? ????,,Uprav názov po?a ,,Promeni naziv polja,,,,?????????? ????? ????,,
AgOpenGPS,Culture\gStr,gsElevationlog,,Elevation Log,,,,Højde log,,Höhenprotokoll,,,,Korkeusloki,,Elevation Log,,Magassági térkép,,Registro Elevazione,,Aukš?io registras,,Augstuma re?istrs,,Registreer hoogte,,Høyde logg,,,,,,?????? ?????,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsEnable,,Enable,,,,Aktiver,,Aktivieren,,,,Aktivoi,,Activer,,Engedélyezés,,Attiva,,?galinti,,Iesp?jot,,Activeer,,Aktiver,,W??cz,,,,????????,,,,Omogu?i,,,,,,
AgOpenGPS,Culture\gStr,gsEncoderCounts,,Counts,,zCounts,,Føler Impulser,,Anzahl,,Recuentos,,Pulssia,,Nombre d'impulsions,-4000 és 4000 közötti szám az A/D-tól,Érték,,Conteggi Encoder,,Skai?iavimas,,Impulsu skaits,,Stappen,,Teller,,Liczba impulsów enkodera,,Conta,,,,Po?et impulzov,,Broj impulsa,,Say?mlar,,??????????,,????
AgOpenGPS,Culture\gStr,gsEnterCoordinatesForSimulator,,Enter Coordinates For Simulator,,zEnter Coordinates For Simulator,,Indtast Koordinater Til Sim,,Koordinaten für Simulator eingeben,,Introducir Coordenadas para simulador,,Syötä simulaattorin koordinaatit,,Entrer les coordonnées pour le simulateur,,Szimulátor koordináták megadása (Bp 47.5  19),,Inserire Coordinate Per Il Simulatore,,?veskite simuliatoriaus koordinates,,Ievadiet koordin?tes simulatoram,,Voer simulator-coördinaten in,,Skriv inn koordinater for simulator,,Wprowad? wspó?rz?dne dla symulatora,,Insira as coordenadas para o simulador,,????????? ????????? ??????????,,Vložte súradnice pre simulátor,,Unesi koordinate za simulator,,Simülatör için Koordinatlar? Girin,,?????? ?????????? ??? ?????????,,???????
AgOpenGPS,Culture\gStr,gsEnterFieldName,,Enter Field Name,,zEnter Field Name,,Skriv mark navn,,Feldnamen eingeben,,Introducir nombre de Parcela,,Kirjoita pellon nimi,,Entrez le nom du champ,,Területnév megadása,,Inserire Nome Campo,,?veskite lauko pavadinim?,,Ievadiet lauka nosaukumu,,Voer perceelnaam in,,Skriv inn skiftenavn,,Wprowad? nazw? pola,,Insira o nome do campo,,??????? ???????? ????,,Názov po?a,,Unesi naziv polja,,Alan Ad?n? Girin,,?????? ??'? ????,,????
AgOpenGPS,Culture\gStr,gsEnterJobName,,Enter Job Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsEnterName,,Enter Name,,,,Indtast navn,,Namen eingeben,,,,Kirjoita Nimi,,Entrez le nom,,Név megadása,,Inserisci Nome,,?vesti pavadinim?,,Ievadiet v?rdu,,Voer Naam In,,Skriv inn navn,,Wprowadz nazwe,,,,??????? ????????,,,,Unesi naziv,,,,,,
AgOpenGPS,Culture\gStr,gsEnterRecordName,,Enter Record Name,,,,Indtast Record navn,,Aufnahme Name:,,,,Tallennuksen Nimi,,Entrez le nom de l'enregistrement,,Felvétel nevének megadása,,Inserisci Nome Registrazione,,?vesti ?rašo pavadinim?,,Ievadiet ieraksta nosaukumu,,Typ hier een naam,,Skriv inn record name,,Wprowad? nazw? rec.,,,,??????? ???????? ??????,,,,Unesi naziv,,,,,,
AgOpenGPS,Culture\gStr,gsEnterSimCoords,,Enter Sim Coords,,zEnter Sim Coords,,Indtast Sim Koordinater,,Sim Koordinaten eingeben,,Introducir coordenadas SIM,,Simulaattorin koordinaatit,,Entrez  Coord. Sim,,Szimulátor koordinátáinak beállítása,,Inserire Coord. Sim,,?veskite simuliatoriaus koordinates,,Ievadiet Simulatora koordin?tes,,Voer sim-coörd. in,,Skriv inn Sim-koordinater,,Wprowad? wspó?rz?dne symulatora,,Insira as coordenadas do Sim,,????????? ????????? ??????????,,Súradnice pre simulátor,,Koordinate simulatora,,Sim Kodlar?n? Girin,,?????? ?????.??????.,,??????
AgOpenGPS,Culture\gStr,gsError,,Error,,zError,,FEJL,,FEHLER,,Error,,Virhe,,Erreur,,Hiba,,Errore,,Klaida,,K??da,,Fout,,Feil,,B??d,,Erro,,??????,,Chyba,,Greška,,Hata!!!,,???????,,??
AgOpenGPS,Culture\gStr,gsErrorreadingKML,,Error reading KML,,zError reading KML,,Fejl Indlæsning KML,,Fehler beim KML einlesen,,Error lectura KML,,Virhe KML-tiedoston lukemisessa,,Erreur de lecture du fichier KML,,Nem sikerült a KML fájl olvasása,,Errore Lettura File KML,,Klaida skaitant KML,,"Lasot KML, rad?s k??da",,Fout bij lezen KML,,Feil ved lesing av KML,,B??d odczytu KML,,Erro ao ler KML,,?????? ?????? KML,,Chyba pri ?ítaní KML,,Greška pri ?itanju,,KML okunurken hata olu?tu,,??????? ??? ??????? KML,,??KML?? 
AgOpenGPS,Culture\gStr,gsExit,,Exit,,,,,,Schließen,,,,Lopeta,,Quitter,,Kilépés,,Uscita,,Išeiti,,Iziet,,Afsluiten,,Avslutt,,Exit,,,,?????,,,,Izlaz,,,,,,
AgOpenGPS,Culture\gStr,gsExitToWindows,,Exit to Windows in:,,,,,,Schließt in:,,,,Poistuu Windowsiin:,,Fermeture dans :,,Kilépés a windowsba másodperc múlva:,,Ritorno a Windows in:,,Išeiti ? Windows:,,Iziet uz Windows:,,Afsluiten over:,,,,Exit to Windows in:,,,,????? ? Windows:,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsExtraGuideLines,,Extra Guidelines,,,,Ekstra hjælpelinjer,,Leitlinien,,,,Lisä Linjat,,,,Extra irányvonalak,,Ulteriori Linee ,,Ekstra gair?s,,Papildu vadl?nijas,,Extra geleidingslijnen,,Ekstra retningslinjer,,Dodatkowe Linie,,,,?????????????? ?????,,,,Dodatne linije,,,,,,
AgOpenGPS,Culture\gStr,gsFast,,Fast,,,,Hurtig,,Schnell,,,,Nopea,,Rapide,,Gyors,,Veloce,,Greitai,,?tri,,Snel,,Hurtig,,,,,,,,,,Brzo,,,,,,
AgOpenGPS,Culture\gStr,gsField,,Field,,zField,,Mark,,Feld,,Parcela,,Pelto,,Parcelle,,Terület,,Campo,,Laukas,,Lauks,,Perceel,,Skifte,,Pole,,Campo,, ????,,Pole,,Parcela,,,,????,,
AgOpenGPS,Culture\gStr,gsFieldFileIsCorrupt,,Field File is Corrupt,,zField File is Corrupt,,Fejl I Mark Fil,,Feld Datei ist fehlerhaft,,Fichero de Parcela corrupto,,Peltotiedosto on korruptoitunut,,Fichier parcelle corrompu,Területben maradtunk de lehet inkább parcella/mez?kellene?,A terület fájl sérült,,Il File Del Campo E' Corrotto,,Lauko failas sugadintas,,Lauka fails ir boj?ts,,Perceel bestand is corrupt,,Skiftefil er ødelagt,,Plik pola jest uszkodzony,,O arquivo de campo está corrompido,,???? ???? ?????????,,Súbor obsahujúci pole je neplatný,,Neispravan fajl,,Alan Dosyas? Bozuk,,???? ???? ???????????,,??????
AgOpenGPS,Culture\gStr,gsFieldIsOpen,,Field Is Open,,zField Is Open,,Mark er åbnet,,Feld ist geöffnet,,Parcela abierta,,Pelto on auki,,Le champ est ouvert,,Terület megnyitva,,Il Campo E' Aperto,,Laukas atidarytas,,Lauks ir atv?rts,,Perceel is geopend,,Skifte er åpent,,Pole jest otwarte,,O campo está aberto,,???? ???????,,Pole je otvorené,,Parcela je otvorena,,Alan Aç?k,,???? ????????,,?????
AgOpenGPS,Culture\gStr,gsFieldMenu,,Field Menu,,,,Mark menu,,Feldmenü,,,,Pelto Valikko,,Menu champ,,Terület Menü,,Menù Campo,,Lauk? menu,,Lauka izv?lne,,Perceel-menu,,Skifte-meny,,,,,,???? ????,,,,Meni parcele,,,,,,
AgOpenGPS,Culture\gStr,gsFieldNotOpen,,Field Not Open,,zField Not Open,,Mark Ikke åbnet,,Feld nicht geöffnet,,Parcela no abierta,,Pelto ei ole auki,,Champ non ouvert,,Terület nincs megnyitva,,Il Campo Non E' Aperto,,Laukas neatidarytas,,Lauks nav atv?rts,,Geen perceel geopend,,Skifte er ikke åpent,,Pole zamkni?te,,Campo não aberto,,???? ?? ???????,,Pole nie je otvorené,,Parcela nije otvorena,,Alan Aç?k De?il,,???? ?? ????????,,?????
AgOpenGPS,Culture\gStr,gsFieldPicker,,Load File,,,,,,Datei laden,,,,Lataa Pelto,,Ouvrir un fichier,,Fájl betöltése,,Carica File,,Užkrauti fail?,,Iel?d?t failu,,Laad bestand,,Last fil,,Za?aduj plik,,,,????????? ????,,,,Izbor parcele,,,,,,
